BUS STOP ID,STOP_NAME,DESCRIPTION,LATITUDE,LONGITUDE,# BENCHES,# TRASHCANS,# SHELTERS,SHELTER_TYPE,# BIKERACKS
589,Eastside Plaza,Eastbound E University AVE @ Nearside SE 39th ST,29.6517471,-82.27676787,0,0,0,,0
590,Sunrise Food Mart @ SE 43rd St,Southbound SE 43rd ST @ Farside E University AVE,29.65091847,-82.27249329,0,0,0,,0
591,Compassionate Outreach Ministries,Southbound SE 43rd ST @ Nearside SE 4th AVE,29.64832669,-82.27249808,0,0,0,,0
592,Lake Forest Trails Neighborhood Southbound,Southbound SE 43rd ST @ Nearside SE 6th AVE,29.64606628,-82.27251019,0,0,0,,0
595,Lake Forest Trails Neighborhood,Northbound SE 43rd ST @ Farside SE 6th AVE,29.64617144,-82.27239087,1,0,0,,0
596,Lake Forest Elementary School,Northbound SE 43rd ST @ Nearside SE 4th AVE,29.648533,-82.2723388,0,0,0,,0
597,Sunrise Food Mart @ SE 43rd St Northbound,Northbound SE 43rd ST @ Nearside E University AVE,29.65097027,-82.2723612,1,1,0,,0
598,Eastside Plaza Westbound,Westbound E University AVE @ Farside SE 39th ST,29.65197077,-82.27698441,0,0,0,,0
599,Morningside Nature Center,Westbound E University AVE @ Nearside SE 38th ST,29.65198292,-82.27995894,0,0,0,,0
601,Fred Cone Park Westbound,Westbound E University AVE @ Nearside SE 27th ST,29.65199193,-82.28707086,0,0,0,,0
602,Pine Meadows Community,Westbound E University AVE @ Nearside NE 26th TER,29.6519906,-82.28987786,1,1,1,Metal,0
608,Northbound NE 25th Street @ NE 6th Avenue,Northbound NE 25th ST @ Farside NE 6th AVE,29.65713327,-82.29227303,1,1,0,,0
609,Mt Carmel Baptist Church,Northbound NE 25th ST @ Nearside NE 8th AVE,29.658911,-82.2923,1,1,0,,0
617,Westbound NE 8th Avenue @ NE 23nd Street,Westbound NE 8th AVE @ Farside NE 23nd ST,29.65928766,-82.29466556,0,0,0,,0
618,Duval Elementary School,Westbound NE 8th AVE @ Nearside NE 21st ST,29.6592966,-82.29714036,0,0,0,,0
619,Bartley Temple United Methodist Church,Northbound NE 19th ST @ Farside NE 8th AVE,29.6596756,-82.29981153,1,0,0,,0
623,Martin Luther King Center and Citizens Field,Westbound NE 8th AVE @ Nearside NE 13th ST,29.6593761,-82.30803611,1,1,0,,0
624,Sunny Food Mart,Westbound NE 8th AVE @ Farside NE 12th ST,29.65938254,-82.31019822,2,1,1,Metal,0
